PersonID,Amount,FamilySize,Distance,Duration,DirectVisits,OnlineVisits,Quantity,NumberofFrequentItems,TransactionMode,Area,Occupation
C1561,5873,3,8,298,13,9,434,8,1,Area1,1
C1563,10989,8,6,428,42,38,9538,42,2,Area2,1
C1573,6969,4,7,471,29,25,5751,29,2,Area2,1
C1578,3313,2,6,104,12,9,744,12,1,Area1,1
C1579,3224,3,6,432,10,10,271,10,2,Area2,1
C1582,2750,4,8,450,21,16,9151,21,2,Area1,1
C1587,2813,2,3,320,19,15,9,19,2,Area1,1
C1590,3937,3,10,371,25,18,1804,22,2,Area1,2
C1593,3438,2,9,367,9,9,727,6,2,Area1,2
C1619,10023,3,6,324,30,29,3971,21,2,Area1,2
C1621,2766,2,6,456,10,10,1629,8,1,Area1,3
C1626,3625,2,5,213,11,10,212,11,1,Area1,3
C1627,2836,3,10,336,14,13,447,11,2,Area1,3
C1628,2938,3,7,342,15,15,1911,15,2,Area1,3
C1636,3794,2,8,175,6,14,242,0,2,Area1,2
C1638,3512,3,10,372,20,21,804,17,2,Area1,2
C1639,3950,3,5,377,25,20,3201,24,2,Area1,3
C1640,3312,2,4,337,16,16,266,15,2,Area1,1
C1644,2625,5,7,350,11,11,718,11,2,Area1,2
C1658,5188,3,8,297,36,22,812,36,2,Area1,3
C1660,4397,3,6,369,12,13,893,8,2,Area1,3
C1665,6697,4,7,356,26,22,1445,19,1,Area1,3
C1666,3188,3,7,296,19,15,173,19,2,Area1,1
C1672,6375,3,8,133,9,9,1682,2,1,Area1,1
C1674,2813,2,6,245,12,12,1296,12,2,Area1,3
C1677,4500,4,8,371,20,20,3023,20,2,Area1,2
C1695,2688,3,8,428,9,9,3872,9,2,Area1,3
C1697,3137,2,7,364,10,10,86,9,2,Area1,2
C1698,3250,2,6,361,11,11,73,11,2,Area1,3
C1710,2648,2,5,147,13,13,90,10,2,Area1,3
C1713,3750,4,9,232,21,18,774,21,2,Area1,2
C1716,3631,2,8,334,9,9,1184,9,2,Area1,3
C1718,3992,2,5,435,15,13,987,10,1,Area1,3
C1719,4625,3,7,298,16,14,3610,16,2,Area1,2
C1729,3750,3,7,367,9,8,2227,7,2,Area1,1
C1732,4939,3,6,445,34,23,2144,34,1,Area1,3
C1734,3563,2,4,392,18,15,452,18,2,Area1,1
C1740,3175,4,8,272,14,10,690,14,2,Area1,1
C1741,8781,3,6,423,40,35,1831,39,2,Area1,3
C1742,2563,5,9,370,9,9,218,9,2,Area1,1
C1747,5719,3,8,462,26,20,2681,26,2,Area1,1
C1751,3125,2,5,217,12,12,703,12,2,Area1,2
C1754,8166,3,7,421,20,20,511,11,1,Area1,1
C1762,5375,2,7,460,13,13,663,13,2,Area1,2
C1767,14560,5,10,367,27,19,3040,17,1,Area1,2
C1769,2563,5,12,329,10,8,474,10,1,Area1,1
C1778,2574,3,5,196,11,11,51,8,2,Area1,1
C1789,2751,3,5,372,22,22,3119,22,2,Area1,2
C1792,10688,4,9,416,55,51,5313,55,2,Area1,3
C1798,2625,2,7,394,10,10,340,10,2,Area1,3
C1809,3063,2,5,251,15,15,2056,15,2,Area1,2
C1813,3625,3,6,451,28,20,993,28,1,Area1,1
C1814,2750,3,9,270,13,11,854,13,2,Area1,1
C1817,6041,2,6,451,26,25,2035,26,2,Area1,2
C1819,3125,3,4,464,14,14,1713,14,2,Area1,3
C1823,2923,3,5,470,15,15,2196,15,2,Area2,1
C1837,2938,3,4,385,22,15,1337,22,1,Area1,1
C1838,4437,4,7,370,21,15,320,21,2,Area1,3
C1841,3438,2,5,441,9,9,2401,9,2,Area1,3
C1848,2688,2,6,324,8,8,257,8,1,Area1,3
C1851,2563,3,8,269,17,17,653,17,2,Area1,2
C1857,2500,5,10,360,9,9,778,9,2,Area1,3
C1865,3038,3,9,419,16,16,3758,16,2,Area1,3
C1870,4608,3,7,376,7,7,769,2,2,Area1,1
C1871,7066,3,6,333,27,27,1225,23,2,Area1,2
C1872,2531,2,4,369,9,9,1134,9,2,Area1,1
C1873,5501,2,7,420,16,16,2016,16,2,Area1,2
C1883,2750,4,6,371,11,11,1964,11,2,Area1,2
C1901,2500,3,6,462,6,6,492,6,2,Area1,1
C1902,3188,4,7,205,15,12,206,15,2,Area1,3
C1903,4500,2,5,404,23,18,398,23,2,Area1,3
C1904,2563,3,8,397,12,11,938,12,2,Area1,2
C1911,4938,4,10,380,25,20,1185,25,1,Area1,1
C1915,5313,2,7,373,24,21,454,24,2,Area1,1
C1924,2625,3,9,366,13,9,2545,13,2,Area1,3
C1929,5748,4,8,372,11,11,480,2,2,Area1,3
C1934,3438,3,5,354,26,18,662,26,2,Area1,3
C1940,3250,2,4,406,19,13,3157,19,2,Area1,2
C1946,2987,2,6,319,7,7,270,3,2,Area1,3
C1947,3563,3,6,417,19,14,199,19,2,Area1,1
C1952,2750,3,4,388,14,10,218,14,2,Area1,1
C1953,2563,2,4,469,14,11,4679,14,2,Area1,1
C1954,2750,3,16,341,9,9,984,9,2,Area1,3
C1955,3688,4,7,404,12,8,1473,12,2,Area1,3
C1964,3100,3,6,440,16,13,1887,16,2,Area1,3
C1965,5516,4,7,314,20,15,1260,16,2,Area1,3
C1973,3000,3,5,224,9,9,0,9,2,Area1,3
C1976,5625,3,6,272,15,15,419,9,2,Area1,3
C1983,4688,3,6,384,17,14,964,17,2,Area1,1
C1985,7125,2,5,433,18,18,1474,18,2,Area1,2
C1986,3751,3,6,406,19,18,4186,19,1,Area1,3
C1989,9438,3,5,450,45,40,4646,45,2,Area1,3
C1991,3500,3,8,350,12,11,2921,12,2,Area1,2
C2003,2750,3,6,338,9,9,953,9,2,Area1,2
C2005,2500,3,8,371,12,11,1582,12,1,Area1,1
C2006,3250,3,5,236,1,1,0,0,2,Area1,1
C2008,2783,4,13,326,8,8,2,3,2,Area1,3
C2010,3750,3,8,383,33,21,1355,33,1,Area1,3
C2018,4000,3,7,355,13,13,693,13,2,Area1,2
C2020,5188,4,8,419,28,23,972,28,1,Area1,1
C2042,5250,4,5,446,47,35,1779,47,1,Area1,3
C2055,3125,2,4,284,12,12,168,12,2,Area1,2
C2063,2563,4,6,377,9,9,236,9,2,Area1,2
C2069,3063,3,8,104,13,11,369,13,2,Area1,1
C2072,4748,3,6,269,10,10,74,0,2,Area1,3
C2078,11800,3,13,105,7,24,3,0,2,Area1,2
C2094,4188,3,6,304,14,14,1969,14,2,Area1,2
C2104,2936,4,8,351,7,8,334,2,2,Area1,3
C2106,4500,3,6,162,18,18,150,18,2,Area1,1
C2111,2625,5,12,235,13,13,1696,13,2,Area1,3
C2117,3438,3,7,238,14,13,1896,14,2,Area1,2
C2121,2813,4,8,368,10,8,3133,10,1,Area1,1
C2124,4563,3,8,389,15,15,774,15,2,Area1,2
C2130,3120,3,6,343,6,6,2467,3,2,Area1,2
C2135,2750,2,7,412,11,9,4521,11,1,Area1,3
C2139,3031,3,7,367,8,8,1614,8,1,Area1,2
C2149,4875,2,8,217,14,14,1136,14,2,Area1,3
C2159,3000,2,5,414,13,13,220,13,2,Area1,3
C2181,3625,3,6,215,24,18,1607,24,2,Area1,3
C2184,5776,2,4,354,30,26,677,27,2,Area1,1
C2200,4449,3,6,463,9,9,4295,6,1,Area1,3
C2209,3188,5,22,196,15,15,173,15,2,Area1,3
C2214,14751,4,8,438,64,64,5951,64,2,Area1,1
C2215,4250,2,6,299,24,19,2448,23,2,Area1,1
C2220,2750,2,7,151,9,9,642,9,2,Area1,1
C2225,3813,2,4,335,24,18,0,24,2,Area1,2
C2228,6125,3,7,352,16,16,2823,16,2,Area1,1
C2231,2750,3,7,170,14,11,1969,14,2,Area1,1
C2242,2688,2,8,197,12,12,432,12,2,Area1,2
C2243,2750,3,7,247,13,8,1676,12,2,Area1,3
C2249,3125,2,6,367,15,13,1093,15,2,Area1,2
C2255,2688,3,7,439,11,11,952,11,2,Area1,2
C2264,4250,5,13,223,17,13,1283,17,2,Area1,1
C2266,2500,2,7,314,14,10,146,14,1,Area1,2
C2280,2813,4,7,191,14,14,204,14,2,Area1,3
C2301,5813,5,9,410,24,24,1397,24,2,Area1,3
C2304,6140,3,6,390,14,14,2854,11,2,Area1,2
C2310,3375,3,7,409,13,13,1102,13,2,Area1,3
C2313,6437,3,7,383,18,18,2399,17,2,Area1,3
C2315,4250,4,7,366,16,16,552,16,2,Area1,3
C2327,2688,3,7,470,12,12,3378,12,2,Area1,3
C2330,2684,4,6,444,9,9,412,4,2,Area1,2
C2332,2625,3,5,309,11,11,477,11,2,Area1,2
C2343,4735,4,7,458,15,13,6800,10,2,Area1,1
C2356,2585,2,4,359,13,13,337,7,2,Area1,2
C2363,3549,4,7,367,11,11,1197,11,2,Area2,2
C2370,2625,2,5,354,11,11,202,11,2,Area1,1
C2378,2700,4,10,363,13,9,141,11,2,Area1,1
C2386,3593,2,5,240,15,12,1581,12,2,Area1,3
C2397,6862,3,4,461,10,8,10,4,1,Area1,2
C2399,18339,3,6,415,68,68,2359,54,2,Area1,1
C2400,2625,2,9,180,10,10,1021,10,2,Area1,1
C2403,3688,4,9,231,14,14,537,14,2,Area1,2
C2407,3438,3,10,399,15,14,711,15,2,Area1,2
C2422,2875,5,11,274,16,12,69,15,1,Area1,1
C2424,2688,3,7,177,16,10,243,16,1,Area1,2
C2440,6001,3,7,437,26,26,3036,26,2,Area1,3
C2443,3500,3,6,417,18,18,759,18,2,Area1,2
C2446,6125,4,5,406,12,12,171,6,1,Area1,1
C2449,8329,2,5,465,14,14,59,3,2,Area1,3
C2457,3625,3,8,203,18,14,481,18,1,Area1,1
C2459,2637,5,5,466,16,13,490,15,2,Area1,3
C2463,3462,3,5,451,12,11,820,10,1,Area1,1
C2466,3343,5,13,205,13,11,3902,11,2,Area1,1
C2467,3075,2,8,324,10,10,955,9,2,Area1,2
C2469,5423,3,7,443,20,19,2505,13,2,Area1,2
C2470,2750,2,5,180,11,11,1670,11,2,Area1,1
C2472,3563,3,6,390,18,14,1807,18,2,Area1,2
C2473,5106,2,7,427,20,20,885,20,2,Area1,3
C2474,3500,2,6,340,22,15,258,20,2,Area1,3
C2477,3562,3,8,407,15,15,5092,14,2,Area1,2
C2487,9132,3,6,249,16,16,2910,0,2,Area1,2
C2489,2500,3,7,371,13,13,687,13,2,Area1,3
C2495,4188,3,9,441,18,18,697,18,2,Area1,2
C2500,2625,3,10,350,11,8,1319,11,1,Area1,1
C2504,2563,3,11,395,13,13,741,13,2,Area1,3
C2511,5375,6,19,248,11,10,156,5,2,Area1,2
C2517,5125,2,5,152,20,18,1220,20,2,Area1,3
C2528,2938,4,8,362,26,15,596,26,2,Area1,1
C2548,4125,4,10,466,16,16,2818,16,2,Area1,1
C2555,5363,4,22,280,27,21,4316,27,2,Area1,2
C2559,3502,5,7,433,31,27,2303,31,1,Area1,3
C2564,4303,5,5,450,15,15,5508,15,2,Area2,1
C2565,3875,4,9,401,17,15,3740,17,1,Area1,3
C2567,3098,5,11,450,22,15,1548,22,2,Area2,2
C2569,4012,3,7,439,19,15,1917,17,1,Area1,2
C2571,3625,3,8,128,15,15,211,15,2,Area1,3
C2578,2625,5,10,377,10,9,43,10,2,Area1,3
C2580,2766,5,14,194,13,10,308,11,2,Area1,2
C2585,2630,2,5,376,22,14,527,19,2,Area1,1
C2588,2860,4,13,454,13,10,409,11,2,Area1,2
C2591,3731,2,8,210,16,16,392,15,2,Area1,1
C2595,3500,3,6,215,12,10,2300,12,2,Area1,1
C2597,4250,3,8,336,17,17,5035,17,2,Area1,3
C2603,2657,3,7,350,19,19,4085,19,2,Area1,3
C2604,5625,4,9,279,21,20,430,21,2,Area1,1
C2605,2563,2,8,381,8,8,495,8,2,Area1,2
C2607,3500,5,5,167,13,13,1579,13,2,Area1,2
C2623,3875,3,5,397,17,17,5932,17,2,Area1,2
C2624,7074,2,7,371,19,19,624,15,2,Area1,3
C2625,4875,2,6,383,27,24,846,27,1,Area1,3
C2637,8187,3,8,434,17,17,2777,13,2,Area1,3
C2639,2513,2,4,305,14,14,836,12,1,Area1,3
C2644,2905,3,11,432,11,11,239,10,2,Area1,2
C2650,3075,3,7,286,13,13,2354,11,2,Area1,2
C2651,2750,3,8,376,12,11,438,12,2,Area1,3
C2660,3188,5,9,400,18,13,1893,18,1,Area1,3
C2663,3438,2,7,403,8,8,1179,8,2,Area1,1
C2667,3313,2,5,360,15,15,844,15,2,Area1,2
C2672,3188,3,8,366,13,11,1247,13,2,Area1,3
C2673,6829,3,6,316,12,12,86,6,1,Area1,2
C2677,8211,3,8,431,17,17,347,8,2,Area1,1
C2699,6063,3,8,462,27,27,3151,27,2,Area1,1
C2702,2500,3,6,379,18,18,573,18,2,Area1,3
C2705,2926,4,9,281,10,10,698,5,2,Area1,2
C2708,5199,3,9,446,20,19,992,17,2,Area1,2
C2710,10188,3,11,356,45,34,1547,45,2,Area1,3
C2719,3750,5,7,347,13,13,1161,13,2,Area1,3
C2720,2938,3,7,219,15,15,653,15,2,Area1,3
C2722,2875,3,23,187,10,9,731,10,1,Area1,3
C2725,8562,2,8,270,19,16,118,11,2,Area1,3
C2727,3385,2,9,335,12,12,181,12,2,Area2,2
C2732,2875,3,8,320,14,12,194,14,2,Area1,1
C2735,2500,3,8,244,12,10,1660,12,1,Area1,2
C2744,2897,4,8,331,11,9,481,7,1,Area1,3
C2750,2937,2,5,304,10,10,1146,9,2,Area1,2
C2753,2625,3,6,416,11,10,2836,11,2,Area1,3
C2758,4500,4,10,394,6,6,888,0,2,Area1,1
C2759,3012,3,23,262,10,9,465,8,2,Area1,2
C2764,2500,2,9,298,8,8,221,8,2,Area1,2
C2776,2569,2,6,402,21,14,2917,21,1,Area1,1
C2806,5375,3,5,456,36,25,3403,36,2,Area1,3
C2807,2625,3,6,402,10,9,2657,10,2,Area1,3
C2811,3588,5,9,463,19,19,2211,19,2,Area1,3
C2813,2501,3,6,368,15,15,3866,15,1,Area1,2
C2814,2563,3,5,370,12,10,1084,12,1,Area1,2
C2816,6500,3,7,395,18,18,961,18,2,Area1,1
C2818,6638,3,6,106,16,16,375,8,1,Area1,3
C2825,2563,2,5,404,8,8,901,8,2,Area1,1
C2826,3688,3,5,237,18,18,1757,18,2,Area1,1
C2837,7528,3,6,343,24,24,626,24,2,Area1,2
C2838,7566,3,5,470,29,27,3179,21,2,Area1,3
C2850,4253,3,7,470,21,21,468,21,2,Area1,1
C2853,5500,3,11,358,19,19,3299,19,2,Area1,1
C2855,3063,3,7,367,20,17,943,19,2,Area1,2
C2859,3311,3,10,326,12,10,776,6,2,Area1,1
C2863,2625,4,6,421,27,18,6865,27,1,Area1,2
C2865,3375,5,12,441,14,11,825,14,2,Area1,2
C2871,3782,4,7,380,17,16,931,17,1,Area1,1
C2873,5688,2,9,103,31,25,1040,31,1,Area1,2
C2880,3750,3,8,119,15,12,235,15,2,Area1,2
C2882,2525,3,7,203,11,11,568,11,2,Area1,3
C2886,6125,3,8,337,41,25,321,41,2,Area1,3
C2889,3249,4,7,270,8,9,863,2,2,Area1,3
C2919,4444,3,7,140,14,14,1076,8,2,Area1,3
C2921,2557,2,5,426,12,11,5917,12,1,Area2,3
C2923,12543,5,8,392,36,32,23746,29,2,Area1,2
C2926,3444,3,7,353,19,16,520,19,2,Area1,3
C2944,2813,2,6,448,10,10,649,10,2,Area1,3
C2949,3125,3,4,345,10,9,287,10,2,Area1,3
C2954,3250,5,5,442,13,13,2242,13,2,Area1,3
C2969,3438,3,7,244,10,10,4234,10,2,Area1,3
C2974,7836,3,6,396,37,36,975,31,2,Area1,2
C2980,3750,3,8,366,28,21,1481,28,1,Area1,2
C2987,2592,3,6,107,9,6,826,6,1,Area1,2
C2996,2700,5,8,200,10,8,4073,9,1,Area1,2
C2998,4188,3,8,315,16,16,1170,16,2,Area1,2
C3000,3875,2,6,369,17,17,1033,17,2,Area1,3
C3015,2950,3,8,244,15,12,316,15,1,Area1,3
C3016,4563,4,8,343,23,22,2754,23,2,Area1,3
C3018,4875,3,8,214,16,13,724,16,2,Area1,3
C3019,5300,4,10,389,19,19,1821,19,2,Area1,1
C3020,3153,2,7,346,13,12,191,10,1,Area1,3
C3021,3031,3,4,459,20,16,2220,19,2,Area1,2
C3022,2625,2,6,450,9,9,223,9,2,Area1,2
C3024,2750,4,8,386,11,10,1292,11,2,Area1,3
C3029,3625,4,8,362,28,20,3051,28,2,Area1,1
C3031,3000,4,9,381,10,10,2083,10,2,Area1,3
C3033,6875,2,8,447,21,21,982,21,2,Area1,3
C3034,4031,3,5,458,29,21,2112,28,2,Area1,1
C3040,3750,4,6,396,16,16,742,15,2,Area1,2
C3048,3000,5,11,394,20,20,1825,20,2,Area1,3
C3052,3216,2,7,323,13,11,454,10,2,Area1,3
C3070,5975,4,11,392,18,18,560,18,2,Area1,2
C3078,2749,3,6,303,8,8,1976,4,2,Area1,2
C3079,3438,3,5,251,14,14,3376,14,2,Area1,3
C3081,4250,2,6,423,28,20,1429,28,1,Area1,2
C3085,4563,3,7,213,16,16,416,16,2,Area1,2
C3096,3125,2,5,184,16,10,11,16,2,Area1,2
C3124,2590,2,4,366,10,10,12,5,2,Area1,3
C3138,6590,4,8,414,24,22,3470,18,2,Area1,1
C3140,5125,6,9,392,26,26,90,26,2,Area1,1
C3147,2563,5,6,186,16,13,481,16,1,Area1,1
C3167,7749,3,7,428,28,28,1632,28,2,Area2,3
C3194,4688,7,9,143,22,16,1318,22,2,Area1,1
C3195,2688,3,6,390,14,14,3678,14,2,Area1,2
C3198,6625,2,7,384,11,8,134,7,2,Area1,2
C3199,2750,4,7,301,19,14,2485,19,2,Area1,1
C3202,4875,3,5,365,13,12,8,13,2,Area1,1
C3204,3875,3,11,329,15,15,265,15,2,Area1,2
C3205,2938,3,5,455,10,9,614,10,2,Area1,1
C3207,5480,3,4,375,15,15,41,5,2,Area1,2
C3219,5000,2,5,390,19,16,436,19,2,Area1,3
C3221,3937,2,5,457,10,10,1521,2,2,Area1,3
C3222,3125,2,4,232,19,17,700,19,2,Area1,3
C3227,3063,3,7,445,12,12,1694,12,2,Area1,2
C3233,5137,3,6,391,17,17,7536,16,2,Area1,3
C3236,2563,4,10,391,14,8,524,14,2,Area1,3
C3237,2813,2,7,226,14,12,1387,14,1,Area1,2
C3240,3250,3,8,356,14,14,712,14,2,Area1,1
C3242,4818,4,8,412,12,9,1250,9,2,Area1,2
C3250,3437,4,5,375,18,18,2514,16,1,Area1,3
C3251,2500,3,9,365,7,6,492,7,2,Area1,1
C3272,3395,2,6,353,13,12,568,5,2,Area1,2
C3276,3625,2,6,260,15,15,162,15,2,Area1,3
C3283,5087,2,9,253,25,25,1304,20,1,Area1,2
C3290,3308,2,5,129,16,13,316,15,2,Area1,2
C3300,2575,3,7,401,11,11,971,10,2,Area1,3
C3302,2750,2,8,306,13,12,1150,13,2,Area1,1
C3318,6250,2,6,424,34,31,3785,34,2,Area1,2
C3319,3199,2,7,457,11,11,900,8,2,Area1,3
C3335,3125,4,9,152,12,12,878,12,2,Area1,3
C3343,2500,2,4,235,12,8,1374,12,1,Area1,3
C3349,9387,3,7,352,26,22,1364,14,1,Area1,3
C3352,7125,10,23,385,28,24,5474,28,2,Area1,3
C3353,2563,3,6,365,13,13,516,13,2,Area1,3
C3361,3313,2,5,260,13,13,4840,13,2,Area1,1
C3372,5937,6,9,290,19,22,2547,18,2,Area1,2
C3380,2563,4,8,285,11,9,1117,11,2,Area1,1
C3387,7563,6,8,445,31,31,2550,31,2,Area1,3
C3399,3062,2,8,327,11,9,2433,11,2,Area1,2
C3403,4875,4,10,199,15,15,281,15,2,Area1,2
C3407,3531,2,6,429,11,11,3545,11,2,Area1,2
C3409,3016,3,22,366,12,12,6795,10,2,Area1,3
C3410,4500,2,5,232,6,6,859,0,2,Area1,1
C3411,3437,3,7,294,2,2,64,1,2,Area1,3
C3413,6043,3,7,281,24,19,1295,21,1,Area1,1
C3421,2500,3,7,461,6,6,1097,6,2,Area1,3
C3422,3563,3,6,467,9,9,5145,9,2,Area1,2
C3426,4983,4,6,425,18,17,2873,14,2,Area1,2
C3427,5188,5,21,386,10,9,1222,4,2,Area1,2
C3430,3887,3,7,259,13,13,444,10,2,Area1,2
C3434,3019,3,5,390,17,13,2284,17,2,Area1,2
C3435,4750,4,9,370,19,19,616,19,2,Area1,3
C3440,4588,5,7,350,21,22,1543,18,2,Area1,3
C3447,4875,3,7,142,10,10,1315,6,1,Area1,3
C3453,2963,4,14,379,22,14,1486,22,1,Area1,2
C3459,3063,2,6,169,10,10,229,10,2,Area1,2
C3460,2688,2,6,397,12,12,133,12,2,Area1,1
C3469,2625,5,8,440,15,12,3028,15,1,Area1,2
C3479,4813,4,7,462,15,15,106,15,2,Area1,1
C3487,3000,5,8,318,20,14,5006,20,1,Area1,2
C3499,4320,2,8,431,30,22,803,30,1,Area1,3
C3519,3562,2,4,367,13,13,169,8,2,Area1,3
C3522,6968,2,6,426,42,25,1033,39,2,Area1,2
C3525,3313,3,4,377,12,10,3127,12,2,Area1,3
C3528,3438,2,5,222,21,21,1067,20,2,Area1,1
C3554,4161,5,7,291,15,15,2702,10,2,Area1,1
C3560,5250,4,7,255,29,20,2160,29,2,Area1,2
C3565,2554,3,7,425,7,7,8,1,2,Area1,2
C3567,2625,3,7,305,12,12,1265,12,2,Area1,1
C3569,2563,4,14,334,15,13,494,15,2,Area1,2
C3573,2574,2,6,421,8,8,444,5,2,Area1,1
C3582,4781,3,6,413,26,26,1194,26,2,Area1,3
C3585,5524,3,11,431,14,14,344,5,2,Area1,2
C3586,2713,2,6,318,6,6,196,0,2,Area1,1
C3588,3313,3,8,324,14,10,8,14,1,Area1,3
C3592,2919,2,6,444,11,11,419,11,2,Area1,3
C3601,7976,3,6,425,28,26,1023,17,2,Area1,3
C3605,7849,4,9,447,31,33,1301,30,2,Area1,1
C3612,2631,4,6,454,15,15,4603,15,2,Area1,1
C3613,4086,3,7,369,21,21,1245,20,2,Area1,3
C3617,2813,2,4,354,11,9,242,11,2,Area1,2
C3619,2500,3,6,403,17,12,496,17,1,Area1,2
C3625,3751,3,8,427,18,15,2362,18,1,Area1,3
C3633,6773,4,11,454,17,13,322,8,1,Area1,2
C3642,3137,2,6,408,14,11,945,12,2,Area1,1
C3643,5188,3,8,341,19,16,657,19,2,Area1,3
C3648,5625,3,8,253,17,18,2946,16,2,Area1,3
C3654,2763,3,7,433,16,15,3182,15,2,Area1,2
C3661,13438,3,7,352,39,39,4980,39,2,Area1,2
C3664,3938,4,12,336,22,18,667,22,2,Area1,1
C3665,5132,3,7,205,27,21,1124,24,1,Area1,1
C3673,3175,3,9,419,17,14,4163,17,2,Area1,3
C3687,3525,2,5,464,15,14,1388,15,2,Area1,3
C3709,2891,3,5,343,16,13,2935,14,2,Area1,3
C3712,9975,5,9,464,60,49,18728,60,2,Area1,2
C3723,3813,2,4,446,12,12,3308,12,2,Area1,1
C3726,2500,3,9,377,10,9,829,10,2,Area1,2
C3730,4000,3,6,231,9,9,1656,9,2,Area1,2
C3736,4438,3,6,453,24,22,418,24,2,Area1,2
C3749,5500,3,8,228,7,7,6,2,2,Area1,2
C3750,4063,3,8,349,17,14,302,17,2,Area1,3
